3e00fff6_3eb5b99600000000_10000_0 | 3eb5b996_1
33800400_398001ff00000000_10000_0 | 398001ff_1
1daa0123_2e9383bf00000000_10000_0 | 2e9383bf_1
33800800_398003ff00000000_10000_0 | 398003ff_1
33801000_398007ff00000000_10000_0 | 398007ff_1
33802000_39800fff00000000_10000_0 | 39800fff_1
33804000_39801ffc00000000_10000_0 | 39801ffc_1
33808000_39803ff000000000_10000_0 | 39803ff0_1
7900f800_5c35b3fb00000000_10000_0 | 5c35b3fb_1
33810000_39807fc000000000_10000_0 | 39807fc0_1
33820000_3980ff0100000000_10000_0 | 3980ff01_1
407bffbf_3ffdfddb00000000_10000_0 | 3ffdfddb_1
33840000_3981fc0f00000000_10000_0 | 3981fc0f_1
5f100001_4f40000000000000_10000_0 | 4f400000_1
33880000_3983f07b00000000_10000_0 | 3983f07b_1
33900000_3987c3b600000000_10000_0 | 3987c3b6_1
33a00000_398f1bbc00000000_10000_0 | 398f1bbc_1
33c00000_399cc47000000000_10000_0 | 399cc470_1
33e00000_39a953fd00000000_10000_0 | 39a953fd_1
437bfffe_417dfdfa00000000_10000_0 | 417dfdfa_1
33f00000_39af456e00000000_10000_0 | 39af456e_1
33f80000_39b22b2000000000_10000_0 | 39b22b20_1
4d8e33ce_4686ea1700000000_10000_0 | 4686ea17_1
33fc0000_39b3997c00000000_10000_0 | 39b3997c_1
33fe0000_39b44f9300000000_10000_0 | 39b44f93_1
33ff0000_39b4aa5a00000000_10000_0 | 39b4aa5a_1
409fff80_400f1b8300000000_10000_0 | 400f1b83_1
33ff8000_39b4d7ac00000000_10000_0 | 39b4d7ac_1
33ffc000_39b4ee5100000000_10000_0 | 39b4ee51_1
3fdfffbf_3fa953e400000000_10000_0 | 3fa953e4_1
33ffe000_39b4f9a200000000_10000_0 | 39b4f9a2_1
33fff000_39b4ff4a00000000_10000_0 | 39b4ff4a_1
468000c0_4300005f00000000_10000_0 | 4300005f_1
33fff800_39b5021f00000000_10000_0 | 39b5021f_1
33fffc00_39b5038900000000_10000_0 | 39b50389_1
33fffe00_39b5043e00000000_10000_0 | 39b5043e_1
33ffff00_39b5049800000000_10000_0 | 39b50498_1
481fefff_43ca58a200000000_10000_0 | 43ca58a2_1
33ffff80_39b504c500000000_10000_0 | 39b504c5_1
33ffffc0_39b504dc00000000_10000_0 | 39b504dc_1
5f000028_4f35050f00000000_10000_0 | 4f35050f_1
33ffffe0_39b504e700000000_10000_0 | 39b504e7_1
33fffff0_39b504ed00000000_10000_0 | 39b504ed_1
33fffff8_39b504f000000000_10000_0 | 39b504f0_1
20759558_2ffabcd300000000_10000_0 | 2ffabcd3_1
33fffffc_39b504f100000000_10000_0 | 39b504f1_1
33fffffe_39b504f200000000_10000_0 | 39b504f2_1
551ffffe_4a4a62c000000000_10000_0 | 4a4a62c0_1
33ffffff_39b504f200000000_10000_0 | 39b504f2_1
33fffffd_39b504f200000000_10000_0 | 39b504f2_1
5ecc6a0f_4f21c18e00000000_10000_0 | 4f21c18e_1
33fffffb_39b504f100000000_10000_0 | 39b504f1_1
4ef7ff7e_47322af100000000_10000_0 | 47322af1_1
33fffff7_39b504f000000000_10000_0 | 39b504f0_1
5e3a71f9_4eda78ce00000000_10000_0 | 4eda78ce_1
33ffffef_39b504ed00000000_10000_0 | 39b504ed_1
40bd29b7_401b9ad400000000_10000_0 | 401b9ad4_1
33ffffdf_39b504e700000000_10000_0 | 39b504e7_1
33ffffbf_39b504dc00000000_10000_0 | 39b504dc_1
33ffff7f_39b504c500000000_10000_0 | 39b504c5_1
33fffeff_39b5049800000000_10000_0 | 39b50498_1
3d900008_3e87c3ba00000000_10000_0 | 3e87c3ba_1
33fffdff_39b5043d00000000_10000_0 | 39b5043d_1
33fffbff_39b5038800000000_10000_0 | 39b50388_1
33fff7ff_39b5021e00000000_10000_0 | 39b5021e_1
33ffefff_39b4ff4a00000000_10000_0 | 39b4ff4a_1
3e2bbe4e_3ed1ae7200000000_10000_0 | 3ed1ae72_1
33ffdfff_39b4f9a200000000_10000_0 | 39b4f9a2_1
2c82ffff_36017dc600000000_10000_0 | 36017dc6_1
33ffbfff_39b4ee5000000000_10000_0 | 39b4ee50_1
3dffff80_3eb504c500000000_10000_0 | 3eb504c5_1
33ff7fff_39b4d7ab00000000_10000_0 | 39b4d7ab_1
7e87fdff_5f03ef8200000000_10000_0 | 5f03ef82_1
33feffff_39b4aa5900000000_10000_0 | 39b4aa59_1
