0 x || xx xx || x x x || xxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxx || xxxxxxxxxxxxxxxxxxxxxxxxxxx || xxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxx || xxxxxxxxxxxxxxxxxxxxxxxxxxx || xxxxxx || Xxxxxxxx
1 x || 00 00 || 1 0 0 || xxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxx || xxxxxxxxxxxxxxxxxxxxxxxxxxx || xxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxx || xxxxxxxxxxxxxxxxxxxxxxxxxxx || xxxxxx || Xxxxxxxx
1 x || 10 10 || 0 0 1 || 011010101011011100100010100 011111111111111111111111110 100000000000000000000000001 || 111111111111111111111111110 || 110101010110111001000110000 110101010110111001001010000 110101010110111001000010000 || 110101010110111001000110000 || 556e46 || bfd56e46
0 x || 10 10 || 0 0 1 || 011010101011011100100010100 011111111111111111111111110 100000000000000000000000001 || 111111111111111111111111110 || 110101010110111001000110000 110101010110111001001010000 110101010110111001000010000 || 110101010110111001000110000 || 556e46 || bfd56e46
1 x || 10 10 || 0 0 1 || 011010101011011100100010100 011111111111111111111111110 100000000000000000000000001 || 111111111111111111111111110 || 110101010110111001000110000 110101010110111001001010000 110101010110111001000010000 || 110101010110111001000110000 || 556e46 || bfd56e46
0 x || 10 10 || 0 0 1 || 011010101011011100100010100 011111111111111111111111110 100000000000000000000000001 || 111111111111111111111111110 || 110101010110111001000110000 110101010110111001001010000 110101010110111001000010000 || 110101010110111001000110000 || 556e46 || bfd56e46
1 x || 10 10 || 0 0 1 || 011010101011011100100010100 011111111111111111111111110 100000000000000000000000001 || 111111111111111111111111110 || 110101010110111001000110000 110101010110111001001010000 110101010110111001000010000 || 110101010110111001000110000 || 556e46 || bfd56e46
0 x || 10 10 || 0 0 1 || 011010101011011100100010100 011111111111111111111111110 100000000000000000000000001 || 111111111111111111111111110 || 110101010110111001000110000 110101010110111001001010000 110101010110111001000010000 || 110101010110111001000110000 || 556e46 || bfd56e46
1 x || 10 10 || 0 0 1 || 011010101011011100100010100 011111111111111111111111110 100000000000000000000000001 || 111111111111111111111111110 || 110101010110111001000110000 110101010110111001001010000 110101010110111001000010000 || 110101010110111001000110000 || 556e46 || bfd56e46
0 x || 10 10 || 0 0 1 || 011010101011011100100010100 011111111111111111111111110 100000000000000000000000001 || 111111111111111111111111110 || 110101010110111001000110000 110101010110111001001010000 110101010110111001000010000 || 110101010110111001000110000 || 556e46 || bfd56e46
1 x || 10 10 || 0 0 1 || 011010101011011100100010100 011111111111111111111111110 100000000000000000000000001 || 111111111111111111111111110 || 110101010110111001000110000 110101010110111001001010000 110101010110111001000010000 || 110101010110111001000110000 || 556e46 || bfd56e46
0 x || 10 10 || 0 0 1 || 011010101011011100100010100 011111111111111111111111110 100000000000000000000000001 || 111111111111111111111111110 || 110101010110111001000110000 110101010110111001001010000 110101010110111001000010000 || 110101010110111001000110000 || 556e46 || bfd56e46
