42a1f4bc_c07fffff_c1a1f4bd_xxxxx_x | c1a1f4bd_1
5f751612_3f70fffe_5f822b98_xxxxx_x | 5f822b98_1
4903ffee_cf12de63_b9661524_xxxxx_x | b9661524_1
4e04000f_c07ffffe_cd040010_xxxxx_x | cd040010_1
c1038d67_c2e1e518_3d95159b_xxxxx_x | 3d95159a_0
bff7ffbf_ce43c0e1_3122299c_xxxxx_x | 3122299c_1
013e12fd_8bc0001f_b4fd6e7e_xxxxx_x | b4fd6e7e_1
b08fffff_c0800000_2f8fffff_xxxxx_x | 2f8fffff_1
be7fffff_c0800001_3d7ffffd_xxxxx_x | 3d7ffffd_1
3e1003ff_40977878_3cf3667f_xxxxx_x | 3cf3667f_1
b0081000_3dcd3622_b1a9bcb3_xxxxx_x | b1a9bcb3_1
410003f7_c0ffffff_bf8003f8_xxxxx_x | bf8003f8_1
0ca7104b_b680007f_95a70fa5_xxxxx_x | 95a70fa5_1
b21fefff_41880002_b0168784_xxxxx_x | b0168784_1
c070000f_b3d500b2_4c103941_xxxxx_x | 4c103941_1
ce00100f_cb80013f_42000ed0_xxxxx_x | 42000ed0_1
bf00101f_cb800000_3300101f_xxxxx_x | 3300101f_1
c19f6ed3_3ffbfffc_c121f6b1_xxxxx_x | c121f6b0_0
40010fff_3d800078_42010f86_xxxxx_x | 42010f86_1
c0ff007e_3ff1fc0a_c086e2bb_xxxxx_x | c086e2bc_0
c3802100_cb800001_378020ff_xxxxx_x | 378020ff_1
417f7bff_4f6f7fff_31888af5_xxxxx_x | 31888af5_1
bcdbb8ee_cbffffff_305bb8ef_xxxxx_x | 305bb8ef_1
400bffff_5e00004e_218bffa9_xxxxx_x | 218bffaa_0
c2008000_4f800380_b2007c7f_xxxxx_x | b2007c7d_0
3e0000a0_c183fffb_bbf83f4f_xxxxx_x | bbf83f4f_1
c1400400_cbfffffe_34c00401_xxxxx_x | 34c00402_0
3ec0d36b_24ffefe0_5940df91_xxxxx_x | 5940df91_1
d37fefe0_4780003b_cb7fef6a_xxxxx_x | cb7fef6a_1
cef5fffe_fee00002_0f8c9247_xxxxx_x | 0f8c9247_1
c700403e_fe800000_0800403e_xxxxx_x | 0800403e_1
4f000023_3e692860_500c8a68_xxxxx_x | 500c8a68_1
a202007e_450003fc_9c81fc72_xxxxx_x | 9c81fc72_1
c07ffff6_3e68dc6a_c18cb814_xxxxx_x | c18cb814_1
4edffffb_b7feffff_d660e0dd_xxxxx_x | d660e0dd_1
ce2e4898_5f7fc000_ae2e7436_xxxxx_x | ae2e7435_0
5e67ffff_4157fffe_5c897b43_xxxxx_x | 5c897b43_1
c18000ff_c0000202_40fffdfa_xxxxx_x | 40fffdfa_1
c1ffe003_bb7fbfdf_46001016_xxxxx_x | 46001016_1
5ffff900_38000bff_677fe105_xxxxx_x | 677fe105_1
4fff4000_c1001fef_ce7f0064_xxxxx_x | ce7f0062_0
3f7ffedf_4bff001f_33007fe0_xxxxx_x | 33007fe0_1
